LABEL TYPE|LABEL CODE|LABEL DESCRIPTION|LABEL SIZE|LABEL QUANTITY|ARTICLE NUMBER|VENDOR NUM|COLOR CODE|COLOR DESCRIPTION|CARE SYMBOLS CODE 1|CARE SYMBOLS CODE 2|CARE SYMBOLS CODE 3|CARE SYMBOLS CODE 4|CARE SYMBOLS CODE 5|CARE SYMBOLS CODE 6|CARE SYMBOLS CODE 7|EAN-CODE|BATCH NUMBER|STYLE DESCRIPTION (EN)|STYLE DESCRIPTION (FR)|SHAPE|PRODUCT LINE|BRAND|MAIN MATERIAL DESCRIPTION|COU|PO-NUMBER|SEAS|CO|SIZE CODE|SIZE DESCRIPTION|CARE INSTRUCTION 1|CARE INSTRUCTION 2|CARE INSTRUCTION 3|CARE INSTRUCTION 4|CARE INSTRUCTION 5|CARE INSTRUCTION 6|CARE INSTRUCTION 7|Declaration Group 1|DG1 - Comp Desc 1|DG1 - Comp %Age 1|DG1 - Comp Desc 2|DG1 - Comp %Age 2|DG1 - Comp Desc 3|DG1 - Comp %Age 3|DG1 - Comp Desc 4|DG1 - Comp %Age 4|DG1 - Comp Desc 5|DG1 - Comp %Age 5|DG1 - Comp Desc 6|DG1 - Comp %Age 6|DG1 - Comp Desc 7|DG1 - Comp %Age 7|DG1 - Comp Desc 8|DG1 - Comp %Age 8|Declaration Group 2|DG2 - Comp Desc 1|DG2 - Comp %Age 1|DG2 - Comp Desc 2|DG2 - Comp %Age 2|DG2 - Comp Desc 3|DG2 - Comp %Age 3|DG2 - Comp Desc 4|DG2 - Comp %Age 4|DG2 - Comp Desc 5|DG2 - Comp %Age 5|DG2 - Comp Desc 6|DG2 - Comp %Age 6|DG2 - Comp Desc 7|DG2 - Comp %Age 7|DG2 - Comp Desc 8|DG2 - Comp %Age 8|Declaration Group 3|DG3 - Comp Desc 1|DG3 - Comp %Age 1|DG3 - Comp Desc 2|DG3 - Comp %Age 2|DG3 - Comp Desc 3|DG3 - Comp %Age 3|DG3 - Comp Desc 4|DG3 - Comp %Age 4|DG3 - Comp Desc 5|DG3 - Comp %Age 5|DG3 - Comp Desc 6|DG3 - Comp %Age 6|DG3 - Comp Desc 7|DG3 - Comp %Age 7|DG3 - Comp Desc 8|DG3 - Comp %Age 8|Declaration Group 4|DG4 - Comp Desc 1|DG4 - Comp %Age 1|DG4 - Comp Desc 2|DG4 - Comp %Age 2|DG4 - Comp Desc 3|DG4 - Comp %Age 3|DG4 - Comp Desc 4|DG4 - Comp %Age 4|DG4 - Comp Desc 5|DG4 - Comp %Age 5|DG4 - Comp Desc 6|DG4 - Comp %Age 6|DG4 - Comp Desc 7|DG4 - Comp %Age 7|DG4 - Comp Desc 8|DG4 - Comp %Age 8|Declaration Group 5|DG5 - Comp Desc 1|DG5 - Comp %Age 1|DG5 - Comp Desc 2|DG5 - Comp %Age 2|DG5 - Comp Desc 3|DG5 - Comp %Age 3|DG5 - Comp Desc 4|DG5 - Comp %Age 4|DG5 - Comp Desc 5|DG5 - Comp %Age 5|DG5 - Comp Desc 6|DG5 - Comp %Age 6|DG5 - Comp Desc 7|DG5 - Comp %Age 7|DG5 - Comp Desc 8|DG5 - Comp %Age 8|Declaration Group 6|DG6 - Comp Desc 1|DG6 - Comp %Age 1|DG6 - Comp Desc 2|DG6 - Comp %Age 2|DG6 - Comp Desc 3|DG6 - Comp %Age 3|DG6 - Comp Desc 4|DG6 - Comp %Age 4|DG6 - Comp Desc 5|DG6 - Comp %Age 5|DG6 - Comp Desc 6|DG6 - Comp %Age 6|DG6 - Comp Desc 7|DG6 - Comp %Age 7|DG6 - Comp Desc 8|DG6 - Comp %Age 8|Declaration Group 7|DG7 - Comp Desc 1|DG7 - Comp %Age 1|DG7 - Comp Desc 2|DG7 - Comp %Age 2|DG7 - Comp Desc 3|DG7 - Comp %Age 3|DG7 - Comp Desc 4|DG7 - Comp %Age 4|DG7 - Comp Desc 5|DG7 - Comp %Age 5|DG7 - Comp Desc 6|DG7 - Comp %Age 6|DG7 - Comp Desc 7|DG7 - Comp %Age 7|DG7 - Comp Desc 8|DG7 - Comp %Age 8|Declaration Group 8|DG8 - Comp Desc 1|DG8 - Comp %Age 1|DG8 - Comp Desc 2|DG8 - Comp %Age 2|DG8 - Comp Desc 3|DG8 - Comp %Age 3|DG8 - Comp Desc 4|DG8 - Comp %Age 4|DG8 - Comp Desc 5|DG8 - Comp %Age 5|DG8 - Comp Desc 6|DG8 - Comp %Age 6|DG8 - Comp Desc 7|DG8 - Comp %Age 7|DG8 - Comp Desc 8|DG8 - Comp %Age 8|TEXT 1|TEXT 2|TEXT 3|Care Instruction 1|Care Instruction 2|Care Instruction 3|Care Instruction 6|Care Instruction 4|Care Instruction 5|Chinese SIZE|DG1-CIQ1|DG1-CIQ2|DG2-CIQ1|DG2-CIQ2|DG3-CIQ1|DG3-CIQ2|DG4-CIQ1|DG4-CIQ2|DG5-CIQ1|DG5-CIQ2|DG6-CIQ1|DG6-CIQ2|DG7-CIQ1|DG7-CIQ2|DG8-CIQ1|DG8-CIQ2|DGX-CIQ1|DGX-CIQ2|DG1 - SUBCAT|DG2 - SUBCAT|DG3 - SUBCAT|DG4 - SUBCAT|DG5 - SUBCAT|DG6 - SUBCAT|DG7 - SUBCAT|DG8 - SUBCAT|DG Padding - MW1|DG Padding - MW2|DG Padding - MW3|DG Padding - MW4|DG Padding - MW5|DG Padding - MW6|DG Padding - MW7|DG Padding - MW8|DG1-SPECIES|DG1-TANNING|DG1-GROW ORIGIN|DG1-MATNAME|DG2-SPECIES|DG2-TANNING|DG2-GROW ORIGIN|DG2-MATNAME|DG3-SPECIES|DG3-TANNING|DG3-GROW ORIGIN|DG3-MATNAME|DG4-SPECIES|DG4-TANNING|DG4-GROW ORIGIN|DG4-MATNAME|DG5-SPECIES|DG5-TANNING|DG5-GROW ORIGIN|DG5-MATNAME|DG6-SPECIES|DG6-TANNING|DG6-GROW ORIGIN|DG6-MATNAME|DG7-SPECIES|DG7-TANNING|DG7-GROW ORIGIN|DG7-MATNAME|DG8-SPECIES|DG8-TANNING|DG8-GROW ORIGIN|DG8-MATNAME|SALESLINE_DESC|MAT_CODE_DESC|GENERIC_CODE|GENERIC_DESC|MDSE CAT|ORDER REASON H.|Down/Feather|Korean size|||||||||||||||||||||
CARE|A|Chloé 50mm|50*50|13|CH24WHT0711711434|0000548198|114|Pristine White|Z|O|N|E|D|A||7614027544558|MG00|TOP, Pristine White, 34|TOP, Pristine White, 34|HT|T|CHL|ORGANIC SILK GEORGETTE|MG|6022897952|CH24|W|34||Do Not Wash|Do not bleach|Iron at a max. sole plate temp. 110 °C|Cleaning tetra. and solvent F, mild|Do not Tumble Dry|Do not wet clean||011|130|100%||||||||||||||||||||||||||||||||900|1150||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||000028||||||160/80Y|||||||||||||||||||||||||||||||||||PINCTADA MAXIMA|||3315||||3315||||||||||||||||||||||||||ORGANIC SILK GEORGET|CH24WHT07117|TOP|CH0101001|Y00||80-86-155|||||||||||||||||||||
CARE|A|Chloé 50mm|50*50|13|FO24WHT0711711434|0000548198|114|Pristine White|Z|O|N|E|D|A||7614027544558|MG00|TOP, Pristine White, 34|TOP, Pristine White, 34|HT|T|CHL|ORGANIC SILK GEORGETTE|MG|6022897952|CH24|W|34||Do Not Wash|Do not bleach|Iron at a max. sole plate temp. 110 °C|Cleaning tetra. and solvent F, mild|Do not Tumble Dry|Do not wet clean|||||||||||||||||||085|130|100%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||000028||||||160/80Y|||||||||||||||||||||||||||||||||||PINCTADA MAXIMA|||3315||||3315||||||||||||||||||||||||||ORGANIC SILK GEORGET|CH24WHT07117|TOP|CH0101001|Y00||80-86-155|||||||||||||||||||||
CARE|A|Chloé 50mm|50*50|26|CH24WHT0711711436|0000548198|114|Pristine White|Z|O|N|E|D|A||7614027544565|MG00|TOP, Pristine White, 36|TOP, Pristine White, 36|HT|T|CHL|ORGANIC SILK GEORGETTE|MG|6022897952|CH24|W|36||Do Not Wash|Do not bleach|Iron at a max. sole plate temp. 110 °C|Cleaning tetra. and solvent F, mild|Do not Tumble Dry|Do not wet clean||011|130|100%||||||||||||||||||||||||||||||||900|1150||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||000028||||||165/84Y|||||||||||||||||||||||||||||||||||PINCTADA MAXIMA|||3315||||3315||||||||||||||||||||||||||ORGANIC SILK GEORGET|CH24WHT07117|TOP|CH0101001|Y00||84-90-160|||||||||||||||||||||
CARE|A|Chloé 50mm|50*50|26|FO24WHT0711711436|0000548198|114|Pristine White|Z|O|N|E|D|A||7614027544565|MG00|TOP, Pristine White, 36|TOP, Pristine White, 36|HT|T|CHL|ORGANIC SILK GEORGETTE|MG|6022897952|CH24|W|36||Do Not Wash|Do not bleach|Iron at a max. sole plate temp. 110 °C|Cleaning tetra. and solvent F, mild|Do not Tumble Dry|Do not wet clean|||||||||||||||||||085|130|100%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||000028||||||165/84Y|||||||||||||||||||||||||||||||||||PINCTADA MAXIMA|||3315||||3315||||||||||||||||||||||||||ORGANIC SILK GEORGET|CH24WHT07117|TOP|CH0101001|Y00||84-90-160|||||||||||||||||||||
CARE|A|Chloé 50mm|50*50|26|CH24WHT0711711438|0000548198|114|Pristine White|Z|O|N|E|D|A||7614027544572|MG00|TOP, Pristine White, 38|TOP, Pristine White, 38|HT|T|CHL|ORGANIC SILK GEORGETTE|MG|6022897952|CH24|W|38||Do Not Wash|Do not bleach|Iron at a max. sole plate temp. 110 °C|Cleaning tetra. and solvent F, mild|Do not Tumble Dry|Do not wet clean||011|130|100%||||||||||||||||||||||||||||||||900|1150||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||000028||||||170/88Y|||||||||||||||||||||||||||||||||||PINCTADA MAXIMA|||3315||||3315||||||||||||||||||||||||||ORGANIC SILK GEORGET|CH24WHT07117|TOP|CH0101001|Y00||88-94-160|||||||||||||||||||||
CARE|A|Chloé 50mm|50*50|26|FO24WHT0711711438|0000548198|114|Pristine White|Z|O|N|E|D|A||7614027544572|MG00|TOP, Pristine White, 38|TOP, Pristine White, 38|HT|T|CHL|ORGANIC SILK GEORGETTE|MG|6022897952|CH24|W|38||Do Not Wash|Do not bleach|Iron at a max. sole plate temp. 110 °C|Cleaning tetra. and solvent F, mild|Do not Tumble Dry|Do not wet clean|||||||||||||||||||085|130|100%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||000028||||||170/88Y|||||||||||||||||||||||||||||||||||PINCTADA MAXIMA|||3315||||3315||||||||||||||||||||||||||ORGANIC SILK GEORGET|CH24WHT07117|TOP|CH0101001|Y00||88-94-160|||||||||||||||||||||
CARE|A|Chloé 50mm|50*50|9|CH24WHT0711711440|0000548198|114|Pristine White|Z|O|N|E|D|A||7614027544589|MG00|TOP, Pristine White, 40|TOP, Pristine White, 40|HT|T|CHL|ORGANIC SILK GEORGETTE|MG|6022897952|CH24|W|40||Do Not Wash|Do not bleach|Iron at a max. sole plate temp. 110 °C|Cleaning tetra. and solvent F, mild|Do not Tumble Dry|Do not wet clean||011|130|100%||||||||||||||||||||||||||||||||900|1150||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||000028||||||170/92Y|||||||||||||||||||||||||||||||||||PINCTADA MAXIMA|||3315||||3315||||||||||||||||||||||||||ORGANIC SILK GEORGET|CH24WHT07117|TOP|CH0101001|Y00||92-98-165|||||||||||||||||||||
CARE|A|Chloé 50mm|50*50|9|FO24WHT0711711440|0000548198|114|Pristine White|Z|O|N|E|D|A||7614027544589|MG00|TOP, Pristine White, 40|TOP, Pristine White, 40|HT|T|CHL|ORGANIC SILK GEORGETTE|MG|6022897952|CH24|W|40||Do Not Wash|Do not bleach|Iron at a max. sole plate temp. 110 °C|Cleaning tetra. and solvent F, mild|Do not Tumble Dry|Do not wet clean|||||||||||||||||||085|130|100%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||000028||||||170/92Y|||||||||||||||||||||||||||||||||||PINCTADA MAXIMA|||3315||||3315||||||||||||||||||||||||||ORGANIC SILK GEORGET|CH24WHT07117|TOP|CH0101001|Y00||92-98-165|||||||||||||||||||||
CARE|A|Chloé 50mm|50*50|4|CH24WHT0711711442|0000548198|114|Pristine White|Z|O|N|E|D|A||7614027544596|MG00|TOP, Pristine White, 42|TOP, Pristine White, 42|HT|T|CHL|ORGANIC SILK GEORGETTE|MG|6022897952|CH24|W|42||Do Not Wash|Do not bleach|Iron at a max. sole plate temp. 110 °C|Cleaning tetra. and solvent F, mild|Do not Tumble Dry|Do not wet clean||011|130|100%||||||||||||||||||||||||||||||||900|1150||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||000028||||||175/96Y|||||||||||||||||||||||||||||||||||PINCTADA MAXIMA|||3315||||3315||||||||||||||||||||||||||ORGANIC SILK GEORGET|CH24WHT07117|TOP|CH0101001|Y00||96-102-165|||||||||||||||||||||
CARE|A|Chloé 50mm|50*50|4|FO24WHT0711711442|0000548198|114|Pristine White|Z|O|N|E|D|A||7614027544596|MG00|TOP, Pristine White, 42|TOP, Pristine White, 42|HT|T|CHL|ORGANIC SILK GEORGETTE|MG|6022897952|CH24|W|42||Do Not Wash|Do not bleach|Iron at a max. sole plate temp. 110 °C|Cleaning tetra. and solvent F, mild|Do not Tumble Dry|Do not wet clean|||||||||||||||||||085|130|100%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||000028||||||175/96Y|||||||||||||||||||||||||||||||||||PINCTADA MAXIMA|||3315||||3315||||||||||||||||||||||||||ORGANIC SILK GEORGET|CH24WHT07117|TOP|CH0101001|Y00||96-102-165|||||||||||||||||||||
